;Abu Dhabi;Abuja;Accra;Addis Ababa;Algiers;Amman;Amsterdam/The Hague (seat of Gvnt);Andorra la Vella;Ankara;Antananarivo;Apia;Ashgabat;Asmara;Astana;Asuncion;Athens;Baghdad;Baku;Bamako;Bandar Seri Begawan;Bangkok;Bangui;Banjul;Basseterre;Basse-Terre;Beijing;Beirut;Belgrade;Belmopan;Bern;Bishkek;Bissau;Bogota;Brasilia;Bratislava;Brazzaville;Bridgetown;Brussels;Bucuresti;Budapest;Buenos Aires;Bujumbura;Cairo;Canberra;Caracas;Castries;Cayenne;Charlotte Amalie;Chisinau;Conakry;Copenhagen;Dakar;Damascus;Dhaka;Dili;Djibouti;Dodoma;Doha;Dublin;Dushanbe;Fort-de-France;Funafuti;Gaborone;George Town;Georgetown;Guatemala;Hanoi;Harare;Havana;Helsinki;Honiara;Islamabad;Jakarta;Jerusalem;Kabul;Kampala;Kathmandu;Khartoum;Kiev (Rus);Kigali;Kingston;Kingstown;Kinshasa;Koror;Kuala Lumpur;Kuwait;La Paz (adm.)/sucre (legislative);Libreville;Lilongwe;Lima;Lisbon;Ljubljana;Lome;London;Luanda;Lusaka;Luxembourg;Macau
Apia;14250.2013;14795.72987;18199.53522;13091.37031;18738.58504;17064.04899;16811.26257;17749.26202;17245.5835;7238.697103;0;11696.08996;14637.11943;11574.25355;10805.52607;17774.25732;14317.02373;14683.34869;17813.51244;12510.69876;12589.12212;16210.39478;16787.14657;12801.41939;11422.93711;12744.81478;17004.3457;17960.47558;11048.73797;18711.90657;14653.25721;18142.88496;13298.03134;7967.417102;14969.49478;13057.60752;11996.52348;19095.52398;16103.16639;16706.29548;8834.100301;11790.73796;13389.16206;4370.171784;13548.43267;11666.42032;12475.23746;12984.7934;13643.93716;17040.67875;18111.70415;17255.51709;15677.85818;12977.11841;4489.796394;13400.22726;12297.7328;13411.42898;16535.82732;13634.18415;14338.4235;2215.865381;8954.916065;11699.77016;15398.19509;12740.18122;8768.196137;8971.335897;10619.91792;15068.91734;2755.190019;13805.44317;7470.052446;16807.99079;13639.66192;15113.25028;13420.7603;16031.26597;16088.91496;7392.395601;3347.32328;12285.88346;11884.07609;8594.227719;9389.282555;14829.86084;9204.434513;16837.15483;13184.12275;10296.206;18376.20343;14466.87691;15367.53468;18302.99923;8702.853649;10607.90847;18142.41456;8896.390207
Ashgabat;3130.721236;5581.634122;7063.263375;2124.544577;7129.547846;6636.864066;6268.706034;6824.718258;6720.493523;6184.98673;11696.08996;0;2960.73636;1907.126059;1112.262553;7111.729728;2636.92198;3335.735175;6428.735944;7892.462011;6546.671869;4930.297987;5362.502753;1968.615709;444.9050212;8099.234919;6237.888108;6574.869655;3936.454969;7731.042236;6206.282851;6484.407584;4176.642297;5317.331702;4563.219667;4757.991875;598.8667843;7534.987678;4471.832261;5164.503643;3351.883905;3550.866043;2893.872042;10225.23268;3470.272282;400.9755657;785.9886071;2456.523966;3232.558032;5673.946268;6422.971528;5625.168826;4009.699802;5802.317664;7883.106011;1886.028794;2596.172796;1794.06659;6008.297542;3847.020208;4025.462845;13015.18115;5912.165879;3432.085538;5562.127158;5564.046605;5360.661885;5439.292791;2910.816484;3892.924338;11197.7864;4735.676153;5517.977399;5647.755852;3984.36313599999;3515.676247;5713.288785;4340.745245;4393.339885;6972.073596;12199.22201;1197.102273;5083.819637;8653.011136;4974.675398;3470.272282;2526.656337;5858.018753;2669.430127;2224.525106;6693.712764;4799.352992;6281.445229;7102.509481;6947.084387;4387.233918;6654.443744;6322.143907
Asmara;1911.591873;3704.399501;4131.909529;1890.84634;4170.17437;4233.897597;3550.595574;3939.384725;4255.713631;8274.964843;14637.11943;2960.73636;0;3684.539548;3839.972439;4507.928182;638.7936893;1575.025528;3487.45314;7474.515071;6344.052677;2121.959486;2451.831469;2546.542607;3281.190813;7530.087605;3790.570806;3800.076121;5256.944315;4938.591069;4951.745361;3588.036027;3925.379019;7396.208956;2469.713587;4007.484898;2759.075244;4641.185813;1515.459943;2223.394315;5937.82159;4015.568423;2142.635462;12713.48696;3075.671163;3051.996031;2175.104934;2723.609482;2182.094878;2765.244645;3475.178784;2664.474216;1240.038181;5519.732233;10742.0262;1297.458711;3021.071735;1451.987349;3346.527721;3361.794544;2939.468466;15893.6793;7239.426747;4497.295487;3877.756219;5457.332569;7412.771905;6933.173063;4898.535868;1451.987349;13966.74616;4073.305518;8075.921946;3126.310151;3488.021625;638.7936893;5191.066316;1464.585698;1465.970274;8706.509072;14797.16473;2667.539024;5010.514701;9892.601944;6856.770737;1586.107521;5432.747869;3057.772049;2182.633152;4750.382042;3743.137423;3094.827079;4135.212504;4162.684044;8059.09816;5337.276988;3697.950751;8021.399613
Astana;2676.994414;7069.949649;7648.16798;3753.6938;7454.790987;6070.75921;7233.663457;7539.011516;6203.466312;7569.042861;11574.25355;1907.126059;3684.539548;0;2710.827798;6699.592513;3100.790807;3116.342384;6999.976443;6122.096617;4778.167301;5801.974977;6065.24377;1245.85982;1568.96248;6362.489269;5763.506516;6440.019485;2037.118622;7521.031042;4901.228682;6583.504523;2686.907469;6771.946179;5907.749086;6549.591797;1434.961889;7546.173814;5075.159916;5793.351648;4602.224488;5453.623548;4534.839801;9032.558813;2284.228924;1506.583415;2166.932368;1434.449221;4833.804847;6370.36695;6697.66834;6090.803463;4253.00248;4106.943396;7233.40587;3192.580556;4461.320712;2240.594145;7030.16713;2576.602651;3063.147237;12291.06724;7656.99413;1545.192789;4607.56999;3828.317227;3788.153223;7154.315311;1228.620331;5017.504869;10317.72322;3342.64042;4413.574198;5328.273679;2678.050369;4323.333178;4117.154985;4649.417105;4790.774216;8505.479109;11113.06837;1095.32274;6977.861106;6823.268539;3291.807685;3261.21472;3352.916934;6729.298425;4349.020422;1295.360704;6965.788508;6320.635951;7664.547883;7653.515018;8711.351083;6265.336521;7128.947017;4586.868146
Asuncion;4238.917559;5785.2413;7801.133422;2491.793831;7975.005177;7720.235856;6836.432654;7508.31688;7796.293725;5082.060626;10805.52607;1112.262553;3839.972439;2710.827798;0;8166.013312;3627.694938;4422.023917;7193.952354;8828.081237;7481.418175;5612.211626;6108.523713;3053.031669;1197.102273;9059.320417;7312.318627;7577.639547;4613.834452;8732.775885;7296.627888;7424.575732;5213.094701;4222.237166;4953.738121;4605.7505;1683.046308;8478.739924;5302.979717;5952.744922;2246.202375;3103.925122;3127.526025;9935.511084;4552.163076;1375.446333;1757.969177;3531.893444;3477.841175;6409.820884;7306.761187;6463.069795;4984.504814;6778.90509;7340.162615;2601.539597;2426.56835;2858.225074;6552.475506;4922.884018;5133.57928;12342.87444;4948.770716;4247.172788;6674.284762;6517.335878;5573.487138;4451.694044;3416.725273;4491.327481;10671.78204;5800.716992;5371.615624;6704.930372;5056.436677;4315.750463;6731.811153;5282.991622;5304.847652;5903.277926;11767.52733;2268.135423;4633.615831;9058.670721;5309.690482;4552.163076;1621.472626;6496.718208;2879.17122;2476.869061;7570.89928;5011.771131;6549.591797;7854.605679;6001.529218;3630.9203;7454.050295;6654.721297
Athens;4109.440236;6056.64728;3072.681614;6366.393139;2264.802247;724.7184658;4179.111475;3438.549092;548.7951066;12751.63319;17774.25732;7111.729728;4507.928182;6699.592513;8166.013312;0;4558.072937;3796.761762;2924.669378;5443.108422;5210.590538;3913.495088;3380.974058;5569.73121;7265.073445;5255.682568;936.3337464;910.9365889;6855.669304;960.3368444;3125.750402;1545.860937;4599.114021;11885.83693;5363.33391;7487.382044;6666.254198;1445.739281;3456.012183;3240.371128;10377.07374;8249.235151;6379.000394;13497.99096;4511.983395;7017.545781;6408.144574;5268.583428;6244.149006;3316.939763;2044.930971;2706.890826;3270.420556;4797.243085;13402.51209;5795.593557;7420.707364;5319.037483;4339.114525;4348.021684;3698.098564;16506.09049;11457.79727;6269.049523;2421.627719;5035.552633;9067.692961;11258.34709;7468.99489;4785.641937;15175.6846;4036.212238;10449.65703;1463.973947;4314.413712;4289.65938;4353.697562;3080.685117;3160.456254;13028.03088;14933.59313;6233.994555;8707.204745;9297.698869;8456.071908;3655.468307;9614.598796;3834.173354;6511.443347;7991.787949;2032.628115;6057.336554;5765.257403;2973.542583;12047.14196;9576.831506;2645.156574;8880.81236
Baghdad;1349.486066;4334.996058;4606.92274;2105.585866;4548.790889;4181.638814;4140.461583;4457.023416;4232.382228;8346.842041;14317.02373;2636.92198;638.7936893;3100.790807;3627.694938;4558.072937;0;1121.287045;3956.107692;6979.494768;5801.971129;2707.688164;2972.882825;1926.644432;2894.229896;7059.132579;3751.150019;3951.939693;4619.650119;5108.250915;4557.081629;3849.989809;3338.07872;7458.2384;3100.790807;4525.76524;2327.771761;4898.781302;1991.515381;2713.897251;5819.263838;4326.752401;2542.941534;12109.3538;2474.621953;2651.651651;1879.679479;2085.270421;2651.651651;3281.922383;3818.241708;3081.080103;1372.790894;4973.081402;10247.77446;1351.980273;3266.4516;927.4393377;3951.181146;2781.740425;2432.313653;15373.70023;7481.994377;3859.02892;3558.816234;4888.872803;6793.266429;7132.616322;4299.856066;2089.19198;13414.4715;3542.489015;7510.942207;3112.043386;2914.075834;1253.952717;4669.82104;1714.557523;1794.064288;8880.076347;14197.39729;2135.639449;5456.232634;9263.176865;6230.183801;1182.801907;5160.162364;3629.251004;2526.656337;4225.751007;4091.409394;3705.388622;4773.971085;4626.070902;8362.235673;5609.396348;4130.413559;7384.32624
Baku;501.1884302;5159.752552;4624.050332;3221.255406;4350.350637;3301.27901;4521.221182;4592.915998;3386.065641;9344.963658;14683.34869;3335.735175;1575.025528;3116.342384;4422.023917;3796.761762;1121.287045;0;3994.008512;5901.08964;4776.545761;3160.434419;3217.106913;1881.979008;3468.500704;5963.876056;2904.703071;3373.984129;4140.52048;4502.816852;3435.938294;3468.218902;2428.618946;8455.581834;3942.800104;5581.775472;2869.786583;4449.780918;2266.108422;2910.423719;6665.317892;5447.172558;3653.152453;11767.06745;1647.952461;3221.255406;2688.077772;1752.040751;3736.870467;3488.160828;3592.985907;3072.430775;1262.703147;3956.441689;10329.00729;2447.985643;4380.55886;1570.667077;4400.582667;1862.38525;1366.93947;15240.20857;8582.607685;3377.631787;2455.89309;3913.634931;6454.46846;8216.997906;4165.76452;2914.141984;13249.21407;2505.531378;7425.028381;2340.054379;1973.233069;1987.173596;3617.735621;1650.899054;1840.579555;9944.354548;13831.14065;2455.256886;6558.546016;8482.577991;5848.051568;147.4524868;5819.105108;3970.450944;3646.199348;4387.233918;3857.735625;4620.079548;5468.54301;4613.735621;9478.002093;6722.425226;4073.012608;6850.06629
Bamako;4491.500749;3225.561404;651.0744621;4798.100528;956.0806738;3315.988979;1257.939978;654.1332402;3178.175637;10608.99394;17813.51244;6428.735944;3487.45314;6999.976443;7193.952354;2924.669378;3956.107692;3994.008512;0;8182.370603;7631.133924;1626.50259;1086.195348;5762.960137;6766.670163;8046.88909;3057.243489;2072.098133;8094.371727;2558.203872;5561.223823;1401.293423;6057.567303;9856.410188;2857.561789;4856.732742;6243.968748;1906.369582;1976.227349;1265.445506;9034.787138;6030.025393;4439.494417;15668.88573;5506.294203;6539.270271;5644.576945;5732.88818;4174.500947;795.325705;894.5062812;921.7407508;2761.940147;6998.167813;14203.47533;4602.720435;5525.78376;4880.829471;1449.277039;5570.84322;4861.057873;19199.76366;8972.641878;7346.155067;4471.963572;7129.339294;10432.57504;8905.322851;8133.270354;2780.394068;17236.66872;5766.83778;11395.01786;2752.161787;5622.796952;2913.444655;6545.588261;2362.823899;2209.636464;10560.88751;17585.1484;6090.803463;6065.738298;11802.88591;9816.866042;3867.274819;8815.283655;1019.513308;4652.526105;8178.238742;906.8338046;3414.537878;2847.545224;675.2613329;9361.708876;7242.116031;345.7400796;10695.20986
Bandar Seri Begawan;5638.275636;10782.37817;8473.367238;8948.137566;7691.518029;4896.081724;9341.225261;8784.267511;5053.315662;13444.8404;12510.69876;7892.462011;7474.515071;6122.096617;8828.081237;5443.108422;6979.494768;5901.08964;8182.370603;0;1347.990923;8473.464333;8169.173557;6030.35658;7650.642625;340.1648137;5125.135959;6151.736157;4457.230163;6243.486697;2714.811072;6808.076884;3817.769316;12765.77427;9675.925549;11481.91062;7306.664568;6866.552531;7613.368451;7895.839875;10573.09015;11137.3459;9512.159298;8141.55667;4665.241035;7523.411795;7751.213769;5550.287312;9629.662993;8267.548743;7300.957877;7597.655774;6704.874392;2113.625346;9062.075609;8149.160878;10034.59134;6930.81966;9402.29722;4295.355174;4548.257726;11128.24289;13776.80809;4614.109611;3892.536368;2328.990356;5308.35101;13276.41176;5740.621918;8701.4337;9775.46919;3449.978043;6839.222733;5507.560355;4150.732044;7799.390859;2324.318052;6890.992729;7103.555078;14501.40209;9508.598726;6723.387251;12425.54976;3921.970152;4949.19895;5890.842859;9211.400156;8861.974965;9463.649129;6782.336749;7379.70621;10407.1265;10802.9952;8382.417265;14827.43879;12231.35403;7973.808668;4452.686028
