;Abu Dhabi;Abuja;Accra;Addis Ababa;Algiers;Amman;Amsterdam/The Hague (seat of Gvnt);Andorra la Vella;Ankara;Antananarivo;Apia;Ashgabat;Asmara;Astana;Asuncion;Athens;Baghdad;Baku;Bamako;Bandar Seri Begawan;Bangkok;Bangui;Banjul;Basseterre;Basse-Terre;Beijing;Beirut;Belgrade;Belmopan;Bern;Bishkek;Bissau;Bogota;Brasilia;Bratislava;Brazzaville;Bridgetown;Brussels;Bucuresti;Budapest;Buenos Aires;Bujumbura;Cairo;Canberra;Caracas;Castries;Cayenne;Charlotte Amalie;Chisinau;Conakry;Copenhagen;Dakar;Damascus;Dhaka;Dili;Djibouti;Dodoma;Doha;Dublin;Dushanbe;Fort-de-France;Funafuti;Gaborone;George Town;Georgetown;Guatemala;Hanoi;Harare;Havana;Helsinki;Honiara;Islamabad;Jakarta;Jerusalem;Kabul;Kampala;Kathmandu;Khartoum;Kiev (Rus);Kigali;Kingston;Kingstown;Kinshasa;Koror;Kuala Lumpur;Kuwait;La Paz (adm.)/sucre (legislative);Libreville;Lilongwe;Lima;Lisbon;Ljubljana;Lome;London;Luanda;Lusaka;Luxembourg;Macau
Bangkok;4452.778079;9852.542866;8035.20291;7687.753512;7324.391042;4549.795645;8673.433573;8272.250553;4726.926867;12188.31677;12589.12212;6546.671869;6344.052677;4778.167301;7481.418175;5210.590538;5801.971129;4776.545761;7631.133924;1347.990923;0;7616.433115;7407.114812;4705.179859;6302.697556;1588.455897;4657.963648;5743.714138;3203.261411;6122.906174;2111.226034;6347.956695;2528.790884;11469.20125;8677.331608;10327.51623;5963.001492;6651.400781;6712.64405;7110.055351;9272.330805;9842.175558;8296.484395;8300.599536;3397.36994;6176.020826;6428.135987;4232.194706;8445.768153;7559.448376;6801.412387;6914.92645;5732.343398;829.8221864;8611.849167;6896.016723;8743.291193;5657.855374;8679.272704;3044.54824;3410.276238;11611.00793;12429.76073;3284.393001;3161.498406;989.6842659;4475.560038;11931.52399;4465.684334;7664.905707;9988.229218;2271.324605;6036.303824;4879.156406;2904.190612;6741.384554;1178.042999;5978.96734;6199.382026;13212.19477;9965.323082;5383.024794;11189.24227;4177.719165;4005.298314;4790.070873;7923.441363;8150.946731;8226.424772;5493.561296;6935.628715;9381.4285;10001.68409;7959.497831;13479.58286;10899.28688;7483.810102;3872.97011
Bangui;3643.45134;2324.55493;2195.462892;3179.499181;2530.256606;4024.54536;1432.833207;1902.004911;3948.202514;9104.201957;16210.39478;4930.297987;2121.959486;5801.974977;5612.211626;3913.495088;2707.688164;3160.434419;1626.50259;8473.464333;7616.433115;0;591.2290035;4630.242638;5303.750673;8422.533039;3633.456518;3008.164572;7246.94733;3885.419094;5759.442301;2462.108346;5540.94454;8312.33059;1449.847542;3574.196322;4831.39158;3340.421839;920.6862111;674.7920185;7408.313166;4499.922936;2821.286364;14814.546;4806.697481;5093.06974;4161.236267;4729.817902;2572.850424;833.5415856;2079.125342;1227.364652;1950.431187;6859.586767;12806.48342;3057.235934;3913.039323;3573.937466;1256.955079;4987.737441;4366.482276;17942.19665;7596.697256;6478.015252;4580.947777;6898.99993;9486.908143;7460.803171;7007.365121;1154.311535;16079.54202;5453.850211;10197.713;3071.072006;5080.346784;1486.033647;6445.903352;1645.96854;1424.372203;9187.176934;16903.60973;4787.557684;4793.795791;11591.3671;8909.256051;3076.157525;7231.466376;940.9359805;3029.213238;6862.610455;2272.403349;2156.655639;2388.725839;2257.291903;8134.515575;5773.153613;1935.536021;9992.752093
Banjul;3716.275635;2729.428926;1702.472932;3718.515186;1951.507815;3554.762032;1325.908009;1488.638663;3462.542096;9694.567251;16787.14657;5362.502753;2451.831469;6065.24377;6108.523713;3380.974058;2972.882825;3217.106913;1086.195348;8169.173557;7407.114812;591.2290035;0;4852.837401;5713.288785;8091.142925;3189.382139;2470.390568;7356.063705;3302.54932;5460.458273;1892.9179;5497.513106;8903.526229;2004.80196;4116.777727;5208.362502;2749.510632;992.5503603;313.6142861;7966.069875;5090.415036;3401.227069;14980.06;4830.261873;5491.533485;4581.518917;4889.643291;3160.664765;313.6142861;1491.230585;674.1204068;1955.772582;6687.027398;13193.83173;3521.120202;4495.088251;3882.020623;1275.951523;4964.636528;4298.150233;18343.33584;8170.678008;6590.735959;4294.49985;6760.032694;9651.588645;8044.790031;7241.291944;1718.287176;16382.69607;5330.097013;10478.81257;2682.465776;5041.79045;1850.715184;6255.410639;1582.897319;1379.056402;9762.858582;17047.84313;5101.173175;5339.943826;11482.48149;9054.379774;3110.906635;7729.967524;772.3546689;3603.266127;7191.378025;1681.174422;2677.824556;2633.830948;1748.493006;8680.715012;6358.739831;1370.178308;10059.07841
Basseterre;1472.896726;6130.411042;6409.383111;3109.557556;6209.698428;4985.599653;6061.715219;6314.420323;5102.158906;8133.13915;12801.41939;1968.615709;2546.542607;1245.85982;3053.031669;5569.73121;1926.644432;1881.979008;5762.960137;6030.35658;4705.179859;4630.242638;4852.837401;0;1894.018472;6207.797486;4641.476813;5238.229365;2758.055364;6345.164254;4243.735762;5349.304029;2237.767321;7275.127594;4918.068251;5921.946862;1374.159412;6328.540806;3860.311087;4572.488215;5232.028712;5154.317182;3830.947355;10184.53801;1502.025845;1682.669444;1722.957038;492.0930811;4073.918052;5153.371657;5452.832952;4850.171925;3009.470432;3917.562135;8479.10909;2388.584294;4067.954562;1196.737479;5877.402092;1878.527783;2115.604152;13515.67921;7844.830245;2030.456428;3687.950291;3716.025551;4867.498464;7387.132636;2388.584294;3956.525171;11532.4409;2769.512124;5636.528005;4154.345873;2016.572765;3177.706025;3779.929968;3406.865075;3553.489997;8940.575826;12273.40757;786.0487967;6578.464079;7542.17978;4311.126794;2028.447516;4167.221109;5541.562713;3696.91486;2505.255047;5721.522077;5427.507596;6646.648262;6412.370426;8861.441297;6201.273693;5885.282321;5505.613536
Basse-Terre;3202.528247;6023.819102;7407.77345;2567.334202;7430.850886;6750.440758;6663.689112;7187.695485;6846.263274;6249.05066;11422.93711;444.9050212;3281.190813;1568.96248;1197.102273;7265.073445;2894.229896;3468.500704;6766.670163;7650.642625;6302.697556;5303.750673;5713.288785;1894.018472;0;7873.986934;6368.208596;6782.554628;3567.055822;7933.675934;6124.101709;6738.161101;4017.435833;5401.956945;4993.412635;5191.747086;598.8667843;7780.870815;4796.57872;5501.331459;3338.468417;3936.657383;3338.468417;9795.493277;3378.553844;248.699365;1144.030788;2358.398628;3676.440078;6026.285189;6709.324649;5938.411546;4258.842653;5587.317472;7502.773148;2286.595596;3016.549579;1998.052893;6409.251501;3742.979168;4004.145191;12649.68204;6129.223003;3113.321957;5568.637674;5331.421778;4919.016304;5639.253396;2492.323343;4294.049089;10802.65538;4612.53386;5083.165971;5805.45391;3873.588319;3862.576523;5534.756819;4608.771053;4679.270643;7096.462767;11784.03164;1112.262553;5477.846031;8236.694313;4541.754528;3609.657522;2351.564895;6237.998567;3114.335149;1779.620085;6981.943833;5242.094897;6718.781844;7441.853267;7176.933178;4696.616565;6977.980825;5891.856787
Beijing;5729.681571;10742.51035;8308.560344;9065.202809;7515.44773;4740.398665;9229.120265;8635.212498;4891.085141;13745.41601;12744.81478;8099.234919;7530.087605;6362.489269;9059.320417;5255.682568;7059.132579;5963.876056;8046.88909;340.1648137;1588.455897;8422.533039;8091.142925;6207.797486;7873.986934;0;4995.293777;5996.89214;4750.597599;6025.821714;2674.030583;6660.029299;3977.782657;13048.66577;9666.828558;11530.23767;7508.367211;6663.404971;7582.065165;7826.647328;10852.79428;11273.63434;9600.443211;8382.711785;4805.901212;7737.53643;7921.930164;5722.307846;9700.565651;8173.346976;7158.713888;7500.918219;6704.199563;2297.890747;9382.569781;8264.349298;10170.65583;7063.162718;9305.286089;4429.40912;4628.491721;11285.05393;14002.86594;4872.470624;3851.286122;2542.6223;5648.153762;13511.00872;6028.973918;8711.90744;9998.390843;3561.181109;7179.363747;5414.326418;4283.865913;7823.195128;2452.1807;6868.464742;7076.898748;14789.1281;9680.958622;6919.357629;12515.20506;4177.064292;5285.281203;5944.0044;9496.891752;8764.832303;9564.532215;7066.037086;7223.532172;10404.59071;10720.97297;8214.630917;15045.68881;12404.41905;7824.547902;4789.90937
Beirut;3189.382139;5917.784555;3388.967696;5679.295298;2667.495919;444.9050212;4238.083551;3666.705604;484.2098311;12063.04627;17004.3457;6237.888108;3790.570806;5763.506516;7312.318627;936.3337464;3751.150019;2904.703071;3057.243489;5125.135959;4657.963648;3633.456518;3189.382139;4641.476813;6368.208596;4995.293777;0;1088.503319;5978.907451;1826.736502;2549.858241;1700.626317;3720.940686;11180.71255;5047.942474;7152.092712;5770.511906;2117.667705;2986.421274;2972.805916;9544.490855;7696.230404;5795.610629;12936.11415;3583.050255;6122.165731;5560.093019;4333.182637;5709.216361;3217.688052;2180.342249;2548.490446;2559.498233;4131.373526;12544.04459;5045.091913;6784.801574;4454.526073;4333.182637;3434.398763;2769.749732;16234.77907;10941.79758;5365.712133;1619.637283;4331.383875;8237.252756;10684.59118;6543.351034;4317.191435;14624.5844;3198.911965;9572.93862;667.3575318;3409.579703;3679.525068;3675.299994;2458.976496;2590.359938;12465.44959;14594.10834;5319.615209;8345.613635;8826.624403;7617.632226;2767.976647;8719.757312;3796.377043;5897.916424;7055.474172;2285.735006;5779.537594;5767.110579;3308.275376;11641.18094;9034.874381;2859.645538;8145.729214
Belgrade;3768.944689;5151.428573;2325.217157;5603.606909;1580.706379;1256.773415;3310.436188;2638.629601;1109.02272;11945.45152;17960.47558;6574.869655;3800.076121;6440.019485;7577.639547;910.9365889;3951.939693;3373.984129;2072.098133;6151.736157;5743.714138;3008.164572;2470.390568;5238.229365;6782.554628;5996.89214;1088.503319;0;6923.017159;1156.683579;3633.441875;670.8104107;4686.249217;11096.76153;4457.644318;6580.295333;6188.526636;1135.166412;2608.901133;2337.273542;9733.619946;7393.902568;5549.128831;14024.10255;4412.504611;6534.056281;5830.986176;5013.373597;5392.270906;2409.170439;1177.894153;1796.427829;2596.694066;5216.924251;13472.17236;5097.451465;6612.845774;4790.986962;3452.625788;4329.803742;3622.592674;17279.76989;10577.55949;6262.082186;2687.147294;5409.808226;9227.25065;10399.17328;7349.930103;3919.092835;15712.09027;4219.0442;10492.28168;1152.486919;4329.066961;3501.359094;4760.168686;2337.564712;2377.100782;12157.59223;15653.58833;5823.22711;7801.418817;9906.326079;8602.324796;3226.700842;9101.278617;2937.910715;5697.161895;7731.042236;1228.006793;5147.454469;4886.786628;2238.611706;11142.56045;8711.611991;1828.454765;9202.913551
Belmopan;3640.233156;8888.416407;8698.299327;5734.461796;8278.857574;6138.295788;8647.355162;8715.306735;6308.10854;8995.578285;11048.73797;3936.454969;5256.944315;2037.118622;4613.834452;6855.669304;4619.650119;4140.52048;8094.371727;4457.230163;3203.261411;7246.94733;7356.063705;2758.055364;3567.055822;4750.597599;5978.907451;6923.017159;0;7798.219549;4180.831136;7282.277787;2258.773005;8310.945378;7673.096329;8555.612602;3467.603241;8050.482748;6389.309985;7050.67289;6124.091506;7487.098779;6500.768791;7626.601773;2595.966731;3535.623706;4170.22795;2535.885369;6775.956194;7628.569931;7551.205121;7181.243967;5403.221062;2787.038871;6566.342756;5093.525736;6497.130807;3953.68138;8503.128894;2601.592708;3321.854484;11120.90941;9456.507892;768.9463536;4448.045611;2454.516729;2346.554988;8934.119219;1287.901941;6695.351149;9143.574509;2839.616403;3595.353057;5778.200225;2594.164474;5866.006493;3016.020498;5788.969892;5981.089096;10044.19466;9694.783997;3042.491937;9014.692504;4827.849222;1724.424859;4253.006956;4756.879631;8101.567322;6333.324736;2335.706852;7788.474568;8181.45153;9388.010426;8671.892709;10511.12721;8236.347634;8124.127957;2764.709248
Bern;4872.295597;5783.765276;2502.942998;6704.207093;1692.50013;1684.257823;3789.515733;2928.841679;1505.970458;12968.50655;18711.90657;7731.042236;4938.591069;7521.031042;8732.775885;960.3368444;5108.250915;4502.816852;2558.203872;6243.486697;6122.906174;3885.419094;3302.54932;6345.164254;7933.675934;6025.821714;1826.736502;1156.683579;7798.219549;0;4062.682835;1445.102677;5539.515609;12145.61277;5298.274666;7377.406305;7338.172804;695.4083402;3659.731415;3252.818175;10876.38966;8372.098265;6584.069826;14367.07792;5397.502909;7685.028427;6987.520004;6087.007333;6394.571372;3149.574571;1815.432777;2667.867619;3749.31104;5744.415414;14355.6437;6233.835811;7666.968447;5945.275026;4004.98474;5260.474004;4587.023267;17063.48115;11468.14273;7192.435091;3377.973555;5989.282394;10025.75781;11346.2077;8358.507224;4911.756492;16018.81017;4990.040545;11393.56874;2193.822807;5236.231622;4599.238671;5304.737065;3474.072406;3492.991785;13061.34035;15618.55665;6957.729885;8596.978741;10145.23833;9412.530046;4356.38154;10257.1788;3562.85467;6750.440758;8816.279748;1674.454026;5927.245703;5364.085964;2393.475794;11913.99352;9658.307605;2225.759159;9834.916269
Bishkek;3318.002342;8073.278115;5935.324692;6647.989929;5214.106029;2445.220698;6665.026672;6191.797686;2624.30992;12373.07409;14653.25721;6206.282851;4951.745361;4901.228682;7296.627888;3125.750402;4557.081629;3435.938294;5561.223823;2714.811072;2111.226034;5759.442301;5460.458273;4243.735762;6124.101709;2674.030583;2549.858241;3633.441875;4180.831136;4062.682835;0;4246.07827;2224.525106;11518.8372;6994.651617;8905.875686;5616.688646;4555.12817;4908.765897;5183.136496;9439.822966;8879.440857;7078.986562;10408.55651;2746.016813;5923.690619;5801.859208;3766.89369;7133.189206;5572.396578;4710.617782;4908.092497;4040.668042;1691.661855;10448.47315;5859.828202;7801.185864;4776.574089;6706.719312;2383.311582;2239.825535;13699.36034;11948.0027;3828.359279;1179.25626;1964.685415;6126.408803;11537.55134;5166.403002;6052.682273;12097.21016;1558.973062;7623.971741;2826.993416;2257.925473;5182.447692;1275.023228;4194.585412;4402.901826;13169.70796;12054.10674;5028.598122;9960.815808;6277.159283;5552.629676;3387.390925;8250.793521;6168.153809;7081.301883;6012.560894;4833.087181;7734.282574;8093.361151;5856.709591;12889.49292;10133.32852;5393.548633;5788.975924
Bissau;3914.903692;4516.590788;1689.312815;5286.823144;1022.874466;1920.753512;2642.990415;1976.440852;1778.276728;11523.92315;18142.88496;6484.407584;3588.036027;6583.504523;7424.575732;1545.860937;3849.989809;3468.218902;1401.293423;6808.076884;6347.956695;2462.108346;1892.9179;5349.304029;6738.161101;6660.029299;1700.626317;670.8104107;7282.277787;1445.102677;4246.07827;0;5092.663351;10701.10865;3897.629648;6006.217786;6158.069229;1054.312748;2228.465471;1814.125362;9503.450696;6930.999649;5140.342036;14582.59044;4711.488004;6492.715957;5714.415848;5188.330494;4949.648448;1788.3098;507.3470093;1235.358936;2479.630084;5780.277277;13754.78149;4866.595042;6225.645993;4743.089926;2794.043231;4682.280628;3960.602441;17932.9741;10058.77198;6584.12424;3232.521162;5951.456422;9617.368674;9915.620432;7581.222057;3466.755846;16258.3667;4686.542493;10794.9524;1556.848048;4701.355779;3190.497821;5322.7246;2146.460362;2122.261941;11649.16651;16294.64444;5857.339286;7229.706595;10522.60716;8990.614662;3322.654638;8998.972073;2289.042718;5309.919709;7853.888416;587.6896934;4561.319951;4223.897987;1611.553929;10568.26552;8225.885502;1165.757612;9686.766206
Bogota;2016.037167;7585.16958;6615.084722;5159.200342;6108.278332;3884.818969;6823.417703;6704.644488;4052.562323;10229.47595;13298.03134;4176.642297;3925.379019;2686.907469;5213.094701;4599.114021;3338.07872;2428.618946;6057.567303;3817.769316;2528.790884;5540.94454;5497.513106;2237.767321;4017.435833;3977.782657;3720.940686;4686.249217;2258.773005;5539.515609;2224.525106;5092.663351;0;9405.253846;6361.678227;7838.441561;3578.072407;5805.12566;4623.727022;5183.927428;7268.843689;7322.519284;5781.135394;9611.614392;875.557917;3845.051655;3944.507285;1748.137015;5948.703116;5727.180382;5411.609595;5183.657487;3591.405623;1710.359385;8823.180893;4369.119066;6221.014285;3129.069907;6744.490417;567.4143495;1204.18395;13142.44555;10079.2888;1703.416275;2207.213519;1567.034783;4541.330858;9614.577813;3005.944535;5330.589629;11225.2785;673.2288828;5854.070285;3555.392519;460.7059916;4407.739004;1542.320662;3926.678088;4142.576608;11113.08663;11591.6886;2980.379262;8662.167689;6061.263172;3916.096299;2485.517526;6039.771053;6269.538094;5702.313631;3794.62148;5629.569429;7017.793188;7888.220285;6573.356004;11099.11569;8426.643366;6031.608491;4639.776329
Brasilia;8371.564017;6987.778526;10255.66021;5520.606203;10807.72064;11620.89792;8899.909441;9822.892683;11650.79576;889.8100424;7967.417102;5317.331702;7396.208956;6771.946179;4222.237166;11885.83693;7458.2384;8455.581834;9856.410188;12765.77427;11469.20125;8312.33059;8903.526229;7275.127594;5401.956945;13048.66577;11180.71255;11096.76153;8310.945378;12145.61277;11518.8372;10701.10865;9405.253846;0;7002.488256;5195.690488;5902.968466;11650.11286;8496.804722;8908.108416;2196.888536;3826.54991;5561.915371;9676.757979;8774.122487;5596.152475;5804.646681;7753.488061;5757.326189;9115.587398;10381.37283;9495.614951;8635.305526;10866.8679;6830.072102;6137.415746;4485.182427;6907.604428;8607.038865;9143.168222;9336.907391;10102.70703;1708.555714;8194.055395;10840.68684;10571.997;8093.407817;1331.816019;7025.491874;7237.54494;9343.877823;10013.79274;6954.579807;10520.2237;9275.080935;7602.600756;10887.02922;8805.154755;8732.721078;1743.714579;10520.31096;6490.354741;4168.136893;11401.71993;8191.680174;8565.009999;3554.520859;8870.016643;5401.956945;5983.796917;10584.61959;6528.661297;7707.711213;10352.02884;2505.8614;2682.465776;10195.66794;9248.433786
Bratislava;4349.786091;1234.693381;3272.067352;2485.585419;3812.678424;5452.722501;2000.432609;2861.413392;5385.089375;7752.433425;14969.49478;4563.219667;2469.713587;5907.749086;4953.738121;5363.33391;3100.790807;3942.800104;2857.561789;9675.925549;8677.331608;1449.847542;2004.80196;4918.068251;4993.412635;9666.828558;5047.942474;4457.644318;7673.096329;5298.274666;6994.651617;3897.629648;6361.678227;7002.488256;0;2124.866818;4661.403468;4712.496825;2113.63028;2123.545615;6398.343889;3179.415404;1843.739178;14788.35697;5531.567057;4833.804847;3897.139968;5164.08481;1506.583415;2153.992031;3482.851024;2669.430127;2971.786437;7873.875867;12291.48937;2754.724722;2825.289815;3729.765182;1697.461194;5794.366876;5286.751243;17035.3314;6170.015901;6927.775715;5823.22711;7852.405514;9695.591344;6064.039837;7133.054723;1031.186471;15613.94003;6424.347424;10075.29586;4451.837399;5911.897131;1955.805014;7501.1005;2803.05384;2601.425937;7763.11795;16719.20049;4815.818237;3343.965842;12362.30858;9187.018547;3907.08405;6503.044647;1870.359751;2090.881339;6729.332569;3643.994075;744.9488322;1758.553921;3362.754505;6684.916643;4389.323841;3200.013082;10422.25232
Brazzaville;5875.222097;1792.097271;5141.933768;2827.771152;5802.995385;7565.524988;3755.326194;4692.877087;7503.991258;5840.872796;13057.60752;4757.991875;4007.484898;6549.591797;4605.7505;7487.382044;4525.76524;5581.775472;4856.732742;11481.91062;10327.51623;3574.196322;4116.777727;5921.946862;5191.747086;11530.23767;7152.092712;6580.295333;8555.612602;7377.406305;8905.875686;6006.217786;7838.441561;5195.690488;2124.866818;0;5120.94745;6757.2965;4176.269336;4248.332191;5218.461141;1706.905654;2092.971932;14290.33172;6963.621457;5135.358607;4387.997993;6307.601728;1890.334915;4232.041856;5569.806548;4787.388177;4884.835917;9498.269287;11421.41789;3539.314571;2202.623881;4782.845435;3478.753875;7295.002092;6941.77322;15255.72476;4117.793645;7907.643434;7769.137008;9402.29332;10097.25339;4089.682223;7660.780027;2888.137046;14444.09919;8066.015223;9962.907991;6536.059462;7431.434424;3724.008751;9190.785865;4804.203317;4625.072223;5704.179492;15645.71311;5513.490756;1223.488808;13372.69213;9732.563452;5591.508615;5812.820281;3837.219616;2230.948043;6937.673526;5705.442819;1450.186442;2532.403982;5246.07151;4564.031969;2514.425013;5201.892793;11079.5029
Bridgetown;2612.255405;5760.12053;6890.194749;2354.836368;6875.606219;6154.88353;6222.270033;6692.768387;6249.154213;6765.081915;11996.52348;598.8667843;2759.075244;1434.961889;1683.046308;6666.254198;2327.771761;2869.786583;6243.968748;7306.664568;5963.001492;4831.39158;5208.362502;1374.159412;598.8667843;7508.367211;5770.511906;6188.526636;3467.603241;7338.172804;5616.688646;6158.069229;3578.072407;5902.968466;4661.403468;5120.94745;0;7196.587945;4268.093368;4981.749271;3894.378611;4044.423576;3141.009408;10154.12992;2876.097286;351.6587026;775.6173711;1859.691241;3457.162616;5521.975495;6145.757719;5395.60175;3681.516356;5210.632652;7987.404709;1907.786731;3030.003205;1415.21883;5981.343117;3251.209439;3454.08392;13141.81417;6507.779495;2906.858482;5006.060391;4977.675132;5095.827412;6037.164837;2563.047902;3880.155884;11252.63084;4138.102367;5438.717257;5206.610527;3387.736857;3363.838978;5115.566268;4039.712479;4120.632;7567.270634;12184.49475;598.2403111;5554.742435;8254.222439;4655.367886;3010.813463;2949.662043;5771.473829;2941.212389;2075.410574;6419.015606;4990.08569;6412.587473;6918.768706;7539.676026;4951.511679;6441.091255;5981.856269
Brussels;4869.342435;5124.015031;1808.426442;6310.251795;1003.933865;2112.377446;3114.335149;2238.259205;1931.890739;12443.61532;19095.52398;7534.987678;4641.185813;7546.173814;8478.739924;1445.739281;4898.781302;4449.780918;1906.369582;6866.552531;6651.400781;3340.421839;2749.510632;6328.540806;7780.870815;6663.404971;2117.667705;1135.166412;8050.482748;695.4083402;4555.12817;1054.312748;5805.12566;11650.11286;4712.496825;6757.2965;7196.587945;0;3250.505876;2748.49755;10545.08577;7839.788137;6112.543011;14943.64074;5547.566587;7534.404727;6767.167823;6127.642497;5896.032462;2559.794167;1270.737605;2163.342821;3526.425304;6206.157558;14606.14;5915.491444;7205.7284;5783.363382;3341.346508;5462.117869;4757.128416;17758.26322;10867.44032;7395.994913;3735.156316;6426.676455;10341.19791;10776.44089;8480.728827;4423.234096;16620.55329;5311.590408;11625.93862;2287.610794;5458.101778;4227.264983;5755.601215;3200.08661;3175.21556;12458.83096;16298.95415;6874.184;7970.152127;10740.52462;9718.247814;4302.538298;10052.17534;2923.276061;6295.900107;8831.078589;1071.104668;5310.243923;4679.609948;1698.663023;11266.20038;9097.399851;1565.212423;10257.89156
Bucuresti;2758.65914;3169.839302;2624.331991;3060.954556;2673.455469;3412.166624;2258.754816;2466.914198;3370.516072;9338.518293;16103.16639;4471.832261;1515.459943;5075.159916;5302.979717;3456.012183;1991.515381;2266.108422;1976.227349;7613.368451;6712.64405;920.6862111;992.5503603;3860.311087;4796.57872;7582.065165;2986.421274;2608.901133;6389.309985;3659.731415;4908.765897;2228.465471;4623.727022;8496.804722;2113.63028;4176.269336;4268.093368;3250.505876;0;722.3935198;7299.142302;4793.687126;2940.780887;14002.36722;3904.576967;4566.466857;3685.868231;3903.665189;2788.824881;1295.210618;2017.184775;1160.970105;1032.392656;5946.968477;12234.79941;2703.802489;4012.031074;2910.468369;2135.926515;4073.375225;3446.049691;17363.47628;8008.93336;5621.588205;3730.788616;5980.621165;8668.993228;7802.646555;6248.742727;1338.726933;15391.24504;4534.882054;9488.504306;2359.979159;4163.394425;989.92929;5538.60868;733.6813205;513.940505;9572.598985;16082.49856;4126.154428;5360.3973;10670.85802;8076.700732;2172.715393;6914.281173;1712.635443;3095.038409;6216.858237;2274.290351;2858.446702;3303.774629;2650.729028;8660.265662;6121.171673;2183.144187;9115.214462
Budapest;3410.43976;2953.612962;1908.549748;3614.929463;2040.186706;3356.248204;1639.507543;1746.102059;3276.214124;9718.337032;16706.29548;5164.503643;2223.394315;5793.351648;5952.744922;3240.371128;2713.897251;2910.423719;1265.445506;7895.839875;7110.055351;674.7920185;313.6142861;4572.488215;5501.331459;7826.647328;2972.805916;2337.273542;7050.67289;3252.818175;5183.136496;1814.125362;5183.927428;8908.108416;2123.545615;4248.332191;4981.749271;2748.49755;722.3935198;0;7872.268268;5119.280123;3364.563109;14676.60017;4518.64165;5274.50138;4379.834767;4595.107303;3150.824093;583.6213131;1477.963315;587.5439344;1647.952461;6383.476831;12955.67995;3353.27358;4458.564316;3632.220535;1582.134064;4651.157676;3984.773201;18084.07537;8253.19228;6286.392513;4011.987431;6452.3234;9352.59281;8101.734441;6959.335846;1674.737142;16104.74667;5020.14698;10205.59496;2433.918743;4728.176404;1651.121237;5954.286581;1271.038382;1070.241668;9840.678524;16738.80357;4848.456784;5466.972406;11173.62845;8752.728331;2802.119757;7571.793252;1085.754163;3552.118419;6939.21094;1703.254683;2830.306725;2911.899317;1940.535522;8806.862144;6411.879334;1501.675152;9748.237035
Buenos Aires;6482.552377;6851.524694;9577.221056;4257.399384;9908.682387;9958.462145;8397.370589;9212.904518;10028.68031;2966.829355;8834.100301;3351.883905;5937.82159;4602.224488;2246.202375;10377.07374;5819.263838;6665.317892;9034.787138;10573.09015;9272.330805;7408.313166;7966.069875;5232.028712;3338.468417;10852.79428;9544.490855;9733.619946;6124.091506;10876.38966;9439.822966;9503.450696;7268.843689;2196.888536;6398.343889;5218.461141;3894.378611;10545.08577;7299.142302;7872.268268;0;3518.835867;4619.297044;9089.422705;6703.767811;3559.24017;3985.252063;5688.672705;4919.641639;8240.468803;9312.340735;8429.737789;7141.235267;8678.225168;6203.1064;4643.891595;3573.818212;5097.337189;8095.036981;7057.708546;7341.677223;10663.88469;3472.531141;5998.729173;8900.294765;8379.411093;6172.608151;2947.160451;4836.587897;6254.527698;9331.748345;7900.779298;5310.746954;8924.197837;7181.903859;6317.899514;8717.753376;7402.318236;7391.19426;3940.330299;10523.71923;4450.337886;4639.918825;9670.51302;6165.883563;6793.534022;1372.790894;8184.299873;4393.339885;3791.406955;9561.000778;6182.008393;7647.561682;9650.606034;4482.396499;3110.906635;9335.962642;7347.171976
Bujumbura;5585.96791;3364.393038;6446.054852;2233.147655;6981.252364;8138.620274;5120.088561;6023.795033;8124.297456;4604.289392;11790.73796;3550.866043;4015.568423;5453.623548;3103.925122;8249.235151;4326.752401;5447.172558;6030.025393;11137.3459;9842.175558;4499.922936;5090.415036;5154.317182;3936.657383;11273.63434;7696.230404;7393.902568;7487.098779;8372.098265;8879.440857;6930.999649;7322.519284;3826.54991;3179.415404;1706.905654;4044.423576;7839.788137;4793.687126;5119.280123;3518.835867;0;1903.56659;12583.68372;6472.833722;3951.548611;3444.445346;5614.765031;2005.087838;5292.33614;6577.941432;5704.842876;5171.154237;9032.462403;9718.702317;3029.091558;1103.210097;4210.566848;4820.531271;6845.929101;6692.015725;13887.98371;3247.259556;6950.929416;7872.125289;8858.122805;8677.405274;3009.114979;6416.562606;3475.898699;12810.6266;7714.460164;8355.986683;7032.914297;6991.233068;4017.54748;8823.35524699999;5237.466537;5117.530912;4783.433534;14011.85577;4557.964256;1545.620979;12140.48015;8398.307112;5506.908159;4140.438719;5049.521615;1832.979612;5557.801198;6770.010451;2769.924299;4151.876456;6539.141998;4046.402752;1338.671531;6369.125206;9749.162872
