;Abu Dhabi;Abuja;Accra;Addis Ababa;Algiers;Amman;Amsterdam/The Hague (seat of Gvnt);Andorra la Vella;Ankara;Antananarivo;Apia;Ashgabat;Asmara;Astana;Athens;Baghdad;Baku;Bamako;Bandar Seri Begawan;Bangkok;Bangui;Banjul;Basseterre;Basse-Terre;Beijing;Beirut;Belgrade;Belmopan;Bern;Bishkek;Bissau;Bogota;Bratislava;Brazzaville;Bridgetown;Brussels;Bucuresti;Budapest;Buenos Aires;Bujumbura;Cairo;Canberra;Caracas;Castries;Cayenne;Charlotte Amalie;Chisinau;Conakry;Copenhagen;Dakar;Damascus;Dhaka;Dili;Djibouti;Dodoma;Doha;Dublin;Dushanbe;Fort-de-France;Funafuti;Gaborone;George Town;Georgetown;Guatemala;Hanoi;Harare;Havana;Helsinki;Honiara;Islamabad;Jakarta;Jerusalem;Kabul;Kampala;Kathmandu;Khartoum;Kiev (Rus);Kingston;Kingstown;Kinshasa;Kuala Lumpur;Kuwait;La Paz (adm.)/sucre (legislative);Libreville;Lilongwe;Lima;Lisbon;Ljubljana;Lome;London;Luanda;Lusaka;Luxembourg;Macau;Madrid;Malabo;Male;Mamoudzou;Managua;Manama;Manila;Maputo;Maseru;Masqat;Mbabane (Adm.);Mexico;Minsk;Mogadishu;Monrovia;Montevideo;Moroni;Moskva;Nairobi;Nassau;N'Djamena;New Delhi;Niamey;Nicosia;Noumea;Nuku'alofa;Nuuk;Oranjestad;Oslo;Ottawa;Ouagadougou;Pago Pago;Palikir;Panama;Papeete;Paramaribo;Paris;Phnom Penh;Port Moresby;Port-au-Prince;Porto-Novo (constitutional cotonou) (seat of gvnt);Prague;Praia;Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial);P'yongyang;Quito;Reykjavik;Riga;Riyadh;Road Town;Rome;Saint-Pierre;Saipan;San Jose;San Juan;San Marino;San Salvador;Santiago;Santo Domingo;Sao Tome;Sarajevo;Seoul;Skopje;Sofia;St. Peter Port;Stanley;Stockholm;Suva;Tallinn;Tarawa;Tashkent;T'bilisi;Tegucigalpa;Tehran;Thimphu;Tirane;Torshavn;Tripoli;Tunis;Vaduz;Valletta;Vienna;Vientiane;Vilnius;Warsaw;Washington DC;Wellington;Willemstad;Windhoek;Yamoussoukro;Yangon;Yaounde;Yerevan;Zagreb
Buenos Aires;6482.552377;6851.524694;9577.221056;4257.399384;9908.682387;9958.462145;8397.370589;9212.904518;10028.68031;2966.829355;8834.100301;3351.883905;5937.82159;4602.224488;10377.07374;5819.263838;6665.317892;9034.787138;10573.09015;9272.330805;7408.313166;7966.069875;5232.028712;3338.468417;10852.79428;9544.490855;9733.619946;6124.091506;10876.38966;9439.822966;9503.450696;7268.843689;6398.343889;5218.461141;3894.378611;10545.08577;7299.142302;7872.268268;0;3518.835867;4619.297044;9089.422705;6703.767811;3559.24017;3985.252063;5688.672705;4919.641639;8240.468803;9312.340735;8429.737789;7141.235267;8678.225168;6203.1064;4643.891595;3573.818212;5097.337189;8095.036981;7057.708546;7341.677223;10663.88469;3472.531141;5998.729173;8900.294765;8379.411093;6172.608151;2947.160451;4836.587897;6254.527698;9331.748345;7900.779298;5310.746954;8924.197837;7181.903859;6317.899514;8717.753376;7402.318236;7391.19426;10523.71923;4450.337886;4639.918825;6165.883563;6793.534022;1372.790894;8184.299873;4393.339885;3791.406955;9561.000778;6182.008393;7647.561682;9650.606034;4482.396499;3110.906635;9335.962642;7347.171976;8621.793423;9860.838858;3609.657522;2375.779633;4870.881465;4576.011073;10008.86117;3779.504984;3592.506211;7455.075737;3222.144937;6953.933364;9671.452743;3899.525671;7561.25505;2249.655514;1901.390122;8661.136951;2833.537253;4294.003729;6632.081145;7659.984423;8844.605995;5304.847652;10534.11204;11687.00359;4552.163076;6976.293129;10586.50252;6537.725193;8059.075647;10949.96046;13191.54903;3896.350113;8216.551849;8911.805573;10572.09907;8399.134495;8434.455541;7883.884057;8550.521498;6255.292983;5298.9837;3212.193098;8180.050743;2484.13687;6098.731526;9868.037299;8027.468534;6354.169151;10417.83851;8462.818492;10202.37985;9728.523311;6482.552377;10502.81738;8341.823584;1193.900978;6741.316805;7286.816867;9996.193375;9727.233442;5381.021944;9144.127021;8770.749195;1115.964611;7151.13827;12303.26578;6947.615234;13668.74969;5644.213318;8282.403464;4840.69558;8281.532898;7445.19898;6913.133985;6938.892925;9945.792842;10170.98325;6891.368967;10334.88939;6633.785791;10539.76958;8392.255216;6350.043801;6567.257961;11100.76779;4009.417788;4040.881278;10338.5121;9103.217614;10123.89128;4767.271512;9942.789738
Bujumbura;5585.96791;3364.393038;6446.054852;2233.147655;6981.252364;8138.620274;5120.088561;6023.795033;8124.297456;4604.289392;11790.73796;3550.866043;4015.568423;5453.623548;8249.235151;4326.752401;5447.172558;6030.025393;11137.3459;9842.175558;4499.922936;5090.415036;5154.317182;3936.657383;11273.63434;7696.230404;7393.902568;7487.098779;8372.098265;8879.440857;6930.999649;7322.519284;3179.415404;1706.905654;4044.423576;7839.788137;4793.687126;5119.280123;3518.835867;0;1903.56659;12583.68372;6472.833722;3951.548611;3444.445346;5614.765031;2005.087838;5292.33614;6577.941432;5704.842876;5171.154237;9032.462403;9718.702317;3029.091558;1103.210097;4210.566848;4820.531271;6845.929101;6692.015725;13887.98371;3247.259556;6950.929416;7872.125289;8858.122805;8677.405274;3009.114979;6416.562606;3475.898699;12810.6266;7714.460164;8355.986683;7032.914297;6991.233068;4017.54748;8823.35524699999;5237.466537;5117.530912;14011.85577;4557.964256;1545.620979;8398.307112;5506.908159;4140.438719;5049.521615;1832.979612;5557.801198;6770.010451;2769.924299;4151.876456;6539.141998;4046.402752;1338.671531;6369.125206;9749.162872;5361.049184;7109.315528;5144.56065;3848.485919;6733.309113;3702.55651;11312.28219;4678.147602;307.7887489;6632.578386;307.7887489;8631.583499;7565.863092;2664.787079;4316.677845;4492.03018;2993.751884;6832.900232;754.7130336;5775.049409;3330.255424;7746.545985;5601.022546;2925.227434;14045.51859;15202.95793;3772.286162;6898.198427;8098.462907;6893.429549;4620.431662;14453.90791;13897.00354;5765.74623;11696.66607;7771.029358;7803.659253;9637.134897;11953.15952;7654.106024;5238.907602;2860.368074;2107.904246;3115.764432;10920.69527;5240.71326;3023.054844;7689.631825;6577.941432;6094.989468;7952.495818;7410.838541;13124.8258;9433.113118;6311.02515;8058.753164;8785.580158;4360.873135;6674.342514;3843.903726;7637.945737;11570.53591;2085.073555;6811.900833;5509.645955;3940.017093;4180.73499;15821.38127;4261.581238;16041.47346;5927.866514;6738.998585;6794.85451;7038.263825;8267.970642;3937.180509;3444.445346;7400.443258;7573.920787;3460.72319;7915.929543;3427.149897;10551.56773;6020.740755;3343.420389;8156.474324;14559.85567;4983.180799;2427.720908;7608.07028;9559.553898;7550.399801;3330.255424;7468.408474
Cairo;3874.268275;2702.049393;4960.440038;786.214144;5350.81007;6238.86167;3806.32346;4594.222521;6229.307822;6397.947747;13389.16206;2893.872042;2142.635462;4534.839801;6379.000394;2542.941534;3653.152453;4439.494417;9512.159298;8296.484395;2821.286364;3401.227069;3830.947355;3338.468417;9600.443211;5795.610629;5549.128831;6500.768791;6584.069826;7078.986562;5140.342036;5781.135394;1843.739178;2092.971932;3141.009408;6112.543011;2940.780887;3364.563109;4619.297044;1903.56659;0;13041.62783;4906.008743;3226.308512;2374.095401;4215.293779;351.615779;3653.152453;4842.426458;3949.269022;3268.611812;7467.458295;10453.38802;1446.370612;1094.927348;2692.731911;3508.544584;5252.015184;4971.982551;15279.66319;5150.631089;5830.228709;6020.190356;7348.161454;8227.889502;4893.955233;5703.561172;1690.91627;13770.59616;6064.09684;8381.229569;5131.107101;5392.386931;2116.098119;7192.486028;3338.450976;3227.294531;14890.63345;3465.274176;2915.203017;7796.225358;3692.479299;4659.645523;3565.085638;248.699365;5117.344982;5063.513677;1918.063454;3438.154738;5036.568904;5926.453413;3241.429384;4756.049345;9116.906737;4020.821552;5390.075008;4672.58059;5616.035552;6128.365847;2327.515487;9938.870249;6562.949005;2158.181772;4869.647525;2113.298851;7677.597375;5684.825654;1560.58021;2972.941703;6152.161759;4720.557375;4929.384468;2075.797298;5127.275316;2129.973494;6182.399632;4236.053303;1025.183147;14786.21871;15808.66674;2427.812763;5346.792079;6301.407064;5511.446507;3644.227503;15226.97859;12159.21605;5339.73414;12683.87843;5905.51359;6102.635148;8369.317629;12685.18555;5994.504706;3974.000712;1939.565095;896.4204566;5014.058743;10432.27616;5466.252096;1491.715516;5819.957489;4698.227473;4556.770804;6146.80356;5567.591052;12592.31957;7667.356744;4782.748832;6249.03543;7268.467644;5044.313534;5148.213594;2940.357747;5800.876385;10429.40225;1112.092719;4956.757201;4168.046771;5373.71708;2542.941534;16316.49842;2455.697874;14720.35929;4640.950593;4847.327173;6233.98561;5175.321354;6941.57608;2300.922265;2811.636929;5609.096901;5802.260953;2559.104408;6097.513205;2058.106781;8809.653186;4160.861329;1730.753915;10044.31825;15518.86664;4243.102189;4260.870209;5887.578292;7994.116874;5770.502635;1751.898285;5657.4202
Canberra;11266.52981;15720.25317;16212.22226;12322.99434;15593.94365;12850.3695;16243.95309;16312.76409;13027.13427;9392.365778;4370.171784;10225.23268;12713.48696;9032.558813;13497.99096;12109.3538;11767.06745;15668.88573;8141.55667;8300.599536;14814.546;14980.06;10184.53801;9795.493277;8382.711785;12936.11415;14024.10255;7626.601773;14367.07792;10408.55651;14582.59044;9611.614392;14788.35697;14290.33172;10154.12992;14943.64074;14002.36722;14676.60017;9089.422705;12583.68372;13041.62783;0;10185.40634;9960.560311;10904.37724;10100.59244;13393.00377;15255.17143;14978.21449;14780.58799;13029.73248;8809.478616;2914.141984;12057.14505;12309.73883;11273.01336;16059.28487;10101.09171;10808.13813;3531.629069;11286.57248;8390.214749;11352.83953;8631.174649;5334.59968;11003.0237;7814.951737;14021.88534;1689.278464;9929.792624;4718.17656;13036.66368;10046.52282;13351.54033;9266.881948;13414.96915;13607.55849;2089.19198;10085.21487;13660.80858;5926.294442;11878.91455;8528.021766;15711.85379;12796.7566;8078.720934;15161.068;14946.48897;16479.64513;16159.15715;11609.85402;12071.02931;15629.51493;4973.961718;16309.18463;15076.27691;8507.27984;9781.029711;7324.68175;11252.96316;6769.090093;10092.50934;12680.45048;11094.00985;12297.94066;6710.895442;13488.51751;11571.78043;15644.03605;8949.030892;10249.97287;12905.80985;11853.83436;8236.332688;15110.64431;9483.232053;16357.63147;13070.49283;1830.539028;2769.142469;11146.47212;9888.327406;14354.95701;9245.546368;16585.84601;2252.60255;7832.036282;7864.697605;1890.84634;11565.26969;15123.5166;7164.568149;1022.702193;10009.82076;16446.78849;14978.38071;13925.61632;11151.26735;3758.525788;7589.894519;14358.62301;13646.60367;12179.15031;10281.23177;14309.73751;11432.40677;3035.257113;9869.308667;10122.3417;14249.45885;8703.69122;8243.952039;9909.349888;15969.43501;14064.38956;5676.480919;14104.17495;13988.49079;16384.27967;8945.19601;14810.63143;3321.226575;14196.49254;5627.589689;9569.686783;12352.83704;7183.407139;11795.65179;8197.297697;14693.41551;15825.63321;14529.57221;14662.37701;15598.6837;14198.17206;14935.55443;9182.128538;13992.43952;14416.90175;8307.835506;2693.621739;9086.030794;12501.28034;15023.69723;8544.24653;14601.23239;11893.03881;14350.23373
Caracas;1187.768028;6762.140424;6103.792848;4292.122712;5693.625146;3842.812558;6148.178713;6135.597519;3989.469222;9627.171177;13548.43267;3470.272282;3075.671163;2284.228924;4511.983395;2474.621953;1647.952461;5506.294203;4665.241035;3397.36994;4806.697481;4830.261873;1502.025845;3378.553844;4805.901212;3583.050255;4412.504611;2595.966731;5397.502909;2746.016813;4711.488004;875.557917;5531.567057;6963.621457;2876.097286;5547.566587;3904.576967;4518.64165;6703.767811;6472.833722;4906.008743;10185.40634;0;3178.096454;3144.964184;1020.904916;5073.629428;5084.55315;4959.070342;4599.806677;2881.324962;2572.722811;9065.598953;3498.739081;5369.774138;2266.450364;6040.410029;383.7948502;813.8879748;13703.12589;9316.845957;1873.91254;2323.365982;2442.401598;4942.340522;8871.042952;2961.353408;4501.42003;11735.30304;1281.080293;6090.544225;3260.56311;528.0780015;3587.630638;2353.779387;3247.606677;3453.016385;12222.60365;2284.228924;7791.877639;4320.13528;1732.050466;5565.435783;5594.509755;4829.673666;3534.316669;5200.681721;6170.337289;7108.988594;6076.212721;10316.43605;7609.958936;5528.470858;5230.432669;6163.513975;5261.854478;3418.165556;8925.434307;3392.718652;2775.432035;5051.825414;10288.0446;6779.191997;1074.6615;6524.072141;3492.902682;4011.231734;3822.254901;5788.453178;8952.786344;8140.096546;3029.11604;6137.134485;3010.813463;5814.109418;1281.844918;6181.936201;4078.5454;11885.40052;12291.64139;2714.720088;441.4438033;5180.885555;940.5138275;6798.441077;12215.86165;7441.707006;3609.657522;11134.31947;2407.873354;5691.131075;3599.783756;10518.20432;1238.549691;6338.471714;6108.485082;5497.425293;9092.214946;6534.627574;5167.870034;5158.489507;4240.815434;2177.126703;386.707257;5035.695743;1979.978019;8297.25287;3127.227878;222.4525106;5055.088414;2362.472902;6021.385723;288.9660339;6575.572542;4598.39988;5677.761054;5740.432721;4085.855873;6219.35419;7819.341818;4928.652667;12459.39766;4267.712095;9814.552122;1152.473585;2428.768516;3547.708141;2042.670128;2203.118763;4922.427803;6856.472691;4894.464447;5119.507853;6400.284708;4907.122881;5513.961762;4150.552909;3851.386208;4986.7141;13237.94792;12743.30315;2798.432142;8865.884863;5477.503522;3101.607176;5048.220169;3186.298338;4764.080683
Castries;2961.380084;5891.907735;7182.330993;2445.468413;7192.859079;6506.134094;6465.065974;6970.085559;6600.747844;6450.912401;11666.42032;400.9755657;3051.996031;1506.583415;7017.545781;2651.651651;3221.255406;6539.270271;7523.411795;6176.020826;5093.06974;5491.533485;1682.669444;248.699365;7737.53643;6122.165731;6534.056281;3535.623706;7685.028427;5923.690619;6492.715957;3845.051655;4833.804847;5135.358607;351.6587026;7534.404727;4566.466857;5274.50138;3559.24017;3951.548611;3226.308512;9960.560311;3178.096454;0;948.6651161;2157.345195;3557.013857;5804.89423;6468.628145;5704.08378;4013.845404;5443.941549;7714.718277;2102.198017;2987.950547;1751.110863;6215.404904;3547.650798;3783.09583;12866.22789;6266.992799;3035.59682;5342.21529;5197.554069;5005.885996;5785.351634;2526.153011;4103.122458;11003.06898;4425.754314;5243.0384;5557.483679;3680.99564;3641.58507;5372.968056;4366.0869;4439.638944;11966.411;896.6479083;5483.256704;4601.757821;3362.077477;2598.040588;6030.018542;3010.719095;1903.503128;6741.482379;5113.570616;6571.202895;7214.529377;7308.515038;4777.233256;6745.872639;5944.747614;6614.110251;6965.985438;1462.6617;5748.591237;2918.232348;1418.902075;7432.336683;7121.044583;4243.73118;3898.317778;3877.677195;4684.583647;6348.367226;1667.37165;5734.461796;5796.410681;4981.832935;5286.823144;3376.509937;1916.349157;5159.763807;4265.100458;6763.590947;3113.680215;11776.72122;12677.26095;1334.615861;3497.40989;7408.339818;3207.820273;6627.72218;12208.93332;10336.72765;2124.544577;10033.958;5359.7921;7614.536342;5732.917631;9796.278082;4396.877859;6665.239034;5116.613719;4112.773647;6024.830406;7229.692011;2738.894621;4400.357635;6566.690864;4559.966223;2813.18739;7238.974371;4909.450094;9420.321896;6281.837908;2961.380084;7303.107489;5139.719407;3087.403673;3256.029307;6031.562921;6785.249779;7619.667589;4337.648028;5996.215976;6737.433655;4672.613124;4980.512849;13130.41408;4481.868247;12091.06237;2228.215795;4828.881662;3015.572117;4755.190497;4437.449324;4812.880902;6002.685795;6866.933917;7109.347323;5686.033819;7133.189206;4974.998208;7225.873464;5360.58228;4463.182109;10126.44686;12603.04107;1053.300582;6077.438248;7371.085127;5938.166486;7048.713747;1979.57438;6812.692505
Cayenne;2566.929004;4985.098338;6280.807391;1589.487867;6344.673828;5973.318647;5520.765201;6049.566178;6044.29682;6689.563902;12475.23746;785.9886071;2175.104934;2166.932368;6408.144574;1879.679479;2688.077772;5644.576945;7751.213769;6428.135987;4161.236267;4581.518917;1722.957038;1144.030788;7921.930164;5560.093019;5830.986176;4170.22795;6987.520004;5801.859208;5714.415848;3944.507285;3897.139968;4387.997993;775.6173711;6767.167823;3685.868231;4379.834767;3985.252063;3444.445346;2374.095401;10904.37724;3144.964184;948.6651161;0;2201.196202;2684.884042;4893.635746;5641.315992;4839.396373;3248.263614;5637.682625;8645.823787;1154.246875;2376.590639;1117.628246;5268.578324;3528.643273;3568.888169;13788.89525;6176.114044;3553.13675;5036.718135;5438.950612;5870.821327;5742.596131;3331.198058;3155.069424;11945.97285;4424.994785;6186.200731;4947.679722;3672.962717;2732.566593;5480.906948;3568.259707;3613.718367;12915.04629;1137.361271;4908.000175;5423.937427;2812.179507;3285.203442;5094.359953;2182.633152;2832.21485;5911.436823;4214.484466;5643.613378;6318.786887;7171.532864;4482.833028;5868.582793;6743.033487;5673.834354;6158.069229;2398.131495;5934.54689;3765.350534;598.2403111;7870.519071;7232.970233;3750.813962;3611.313805;3442.947834;5346.500793;5711.681921;845.6551467;4785.885118;6129.571129;5089.304595;4681.995967;3013.302556;2769.905014;4224.4264;4374.544338;5828.486894;2166.932368;12723.31447;13607.98463;566.951833;3539.831695;6702.808364;3454.746676;5682.366315;13154.46877;10559.76433;3050.359646;10964.38196;5013.085646;6831.636563;6208.294271;10743.3659;4378.335679;5720.189332;4209.901291;3236.288061;5956.289364;8059.883039;3627.693329;3461.601695;5917.784555;4048.586813;2758.261668;6532.354923;4576.626962;10219.91778;6253.464237;2955.441472;6606.355061;5370.055352;3769.821954;3303.688875;5098.86272;6089.647492;8200.096603;3471.092125;5264.773931;5799.275423;5056.242797;4037.978696;14043.43269;3557.549635;12638.16708;2483.496676;4299.459848;3877.629574;4338.929062;4824.685683;3866.525577;5095.827412;6116.554652;6355.137648;4761.607742;6436.008863;4031.921088;7295.482313;4575.798813;3515.98005;10465.6748;13551.56688;1883.598152;5761.05129;6588.577829;6158.069229;6298.791829;1042.599231;6081.677897
Charlotte Amalie;1275.951523;6392.005287;6369.076159;3522.461388;6097.409386;4651.268905;6147.488691;6315.298986;4778.979163;8606.42582;12984.7934;2456.523966;2723.609482;1434.449221;5268.583428;2085.270421;1752.040751;5732.88818;5550.287312;4232.194706;4729.817902;4889.643291;492.0930811;2358.398628;5722.307846;4333.182637;5013.373597;2535.885369;6087.007333;3766.89369;5188.330494;1748.137015;5164.08481;6307.601728;1859.691241;6127.642497;3903.665189;4595.107303;5688.672705;5614.765031;4215.293779;10100.59244;1020.904916;2157.345195;2201.196202;0;4436.297579;5178.66583;5340.884003;4811.70425;2974.282531;3436.670384;8582.929673;2769.414234;4521.316395;1527.549271;5986.460367;1391.966471;1693.693037;13515.99581;8336.673989;1773.759073;3268.512995;3244.962621;4766.062767;7879.1885;2413.79083;4168.831864;11523.38077;2279.382392;5673.667924;3895.003587;1528.04885;3330.17782;3289.661096;3372.491208;3542.17027;12186.00372;1264.880155;7014.497224;4180.200886;1889.461818;4580.99611;5611.274119;4098.408085;2729.7795;5603.23915;5719.059537;6858.378682;6361.920339;9351.994374;6683.642964;5823.196382;5300.35526;6209.71984;5727.859309;2532.283039;7905.379794;2898.78822;1933.698914;5749.733681;9271.792542;5922.541213;1871.734408;5634.865677;3640.837835;4687.819784;2951.030036;5645.35966;7936.384697;7126.011143;3636.11217;5214.468164;2266.396968;5474.12896;2178.232769;6274.515986;3531.978927;11888.05797;12471.6141;1852.13528;1360.750041;5843.044536;1300.841331;6657.763357;12262.85538;8359.21159;2848.322378;10782.74283;3321.382283;6251.243802;4154.049565;10276.96947;2245.558875;6348.752209;5674.803392;4918.49324;8106.253006;6650.758166;4286.074598;4751.992454;4919.022032;2797.19564;667.3575318;5685.268588;2874.353455;8614.015701;4135.357596;804.4155397;5722.307846;3174.003953;5047.150872;1119.433343;6303.37585;5230.527345;6220.459875;5166.982083;4590.21504;6291.211399;6804.613749;4776.892422;12738.26126;4129.116894;10546.56063;532.6259561;3072.542989;3054.328033;2825.778529;2727.029128;4714.878912;6494.957818;5451.325288;5689.480999;6066.207932;5562.4398;5196.657511;5124.364365;4181.399345;4645.267119;12237.72035;12762.65609;1859.691241;7961.42275;6020.928085;3958.176457;5620.285731;2463.986319;5346.640667
Chisinau;3999.025628;2354.836368;4674.355082;1111.583269;5100.427557;6148.953486;3486.42933;4296.085557;6127.753413;6574.455282;13643.93716;3232.558032;2182.094878;4833.804847;6244.149006;2651.651651;3736.870467;4174.500947;9629.662993;8445.768153;2572.850424;3160.664765;4073.918052;3676.440078;9700.565651;5709.216361;5392.270906;6775.956194;6394.571372;7133.189206;4949.648448;5948.703116;1506.583415;1890.334915;3457.162616;5896.032462;2788.824881;3150.824093;4919.641639;2005.087838;351.615779;13393.00377;5073.629428;3557.013857;2684.884042;4436.297579;0;3397.500517;4625.768947;3738.303196;3226.811002;7615.979141;10799.05814;1688.008961;1356.506471;2908.752939;3186.428112;5407.606494;5081.405327;15583.27663;5236.067795;6089.888932;6043.315211;7513.520302;8551.015935;5014.202779;6015.805357;1482.955034;14111.58881;6193.35696;8728.663238;5050.805773;5545.097569;2048.725197;7321.216674;3252.885946;3121.484546;15237.90754;3753.6938;2828.42897;8108.291527;3762.113307;5001.893898;3270.776446;598.8667843;5453.460422;4836.424028;1570.774788;3086.904851;4754.214835;5958.928176;3336.787659;4498.498055;9420.321896;3705.746353;5168.669706;5009.062442;5800.681366;6447.936142;2589.065819;10122.74846;6683.064445;2227.220867;4958.927185;2248.670508;7950.128163;5562.092317;1889.68597;2650.619677;6371.544049;4914.849412;4863.481194;2288.397034;5448.844656;1784.902497;6339.920365;3925.735758;1047.448712;15136.90564;16159.62436;2693.102074;5515.042492;6116.021334;5723.067509;3296.685591;15577.61053;12220.34782;5675.682084;13020.72934;5916.520225;5876.608229;8585.174836;13033.73113;6120.811256;3649.279793;1589.487867;555.7922814;5116.407744;10743.80812;5817.558154;1179.116656;5684.544049;4699.193466;4736.851885;5965.790764;5600.392988;12889.29111;7737.53643;4963.353092;6070.388757;7432.336683;5380.265975;5325.825088;2589.065819;5638.683982;10656.69934;786.214144;4807.804036;3854.022886;5635.757606;2278.008551;16663.33716;2266.208779;14876.61332;4881.470221;4828.881662;6556.628269;5192.713538;7154.498066;2032.713618;2464.764968;5419.639164;5603.606909;2207.489432;5923.690619;1728.402455;8885.642428;4015.83209;1445.97712;10159.82731;15864.4375;4563.075317;4272.102883;5667.976463;8139.289535;5575.663424;1979.57438;5478.681382
Conakry;3988.867362;2743.255654;1394.344197;4003.121668;1703.254683;3556.673267;1119.501047;1176.472364;3450.142114;9890.781695;17040.67875;5673.946268;2765.244645;6370.36695;3316.939763;3281.922383;3488.160828;795.325705;8267.548743;7559.448376;833.5415856;313.6142861;5153.371657;6026.285189;8173.346976;3217.688052;2409.170439;7628.569931;3149.574571;5572.396578;1788.3098;5727.180382;2153.992031;4232.041856;5521.975495;2559.794167;1295.210618;583.6213131;8240.468803;5292.33614;3653.152453;15255.17143;5084.55315;5804.89423;4893.635746;5178.66583;3397.500517;0;1337.793079;673.0330799;2225.604789;6859.45654;13507.27084;3827.603575;4743.209573;4193.439157;1135.004822;5203.398142;4524.029567;18654.92126;8320.162576;6865.513159;4420.490388;6947.346251;9934.867124;8216.997906;7541.023042;1985.967163;16685.66948;5529.29324;10783.69554;2760.765234;5274.910476;2163.751427;6420.987063;1841.357477;1647.952461;17306.8287;5412.234767;5454.31291;9333.646245;3376.842216;8031.22222;595.7828745;3862.576523;7502.773148;1490.132206;2782.659513;2553.134313;1444.784992;8786.874169;6537.879852;1102.909851;10314.84141;1085.754163;1833.244725;7126.003152;9140.817395;8035.25829;4388.903994;9342.617642;9837.734562;5439.685051;4250.650438;5573.790019;8576.22715;2807.643277;4526.390439;1260.994899;9756.802437;8277.314361;2758.161244;5681.980042;7218.558772;2115.865217;5925.625972;1102.484093;2966.867688;16961.64924;17125.90698;4479.88462;5409.269281;2901.861251;6020.628504;1985.967163;17258.6398;10098.33616;7692.541628;15819.52872;4214.502688;2513.031567;8391.890495;15436.36961;5444.639393;1285.307828;2671.508555;3184.474624;8261.902741;11605.92732;8521.178805;2271.680447;2817.121316;3264.298539;4974.315963;2781.836831;4173.787643;13140.42038;6218.942663;5136.809005;2892.993179;6865.3486;8479.076254;5365.984879;2235.572008;2591.419774;10285.9698;3227.960288;1985.30971;1134.831613;9026.387072;1121.287045;17015.64744;1349.972572;13123.8834;5704.617164;3168.415114;8185.767606;3741.440059;7170.195077;1367.339306;2769.42828;2224.525106;2349.414321;2372.986324;2781.836831;1916.236582;7253.506059;1494.507833;1962.267277;13186.7352;17797.33164;6454.46846;7130.848828;2326.344095;7260.863766;2341.833953;3855.652291;2341.833953
Copenhagen;4066.686363;4035.060862;1243.858952;5061.669069;757.5707185;2423.018461;2137.108545;1486.404158;2283.765772;11181.99192;18111.70415;6422.971528;3475.178784;6697.66834;2044.930971;3818.241708;3592.985907;894.5062812;7300.957877;6801.412387;2079.125342;1491.230585;5452.832952;6709.324649;7158.713888;2180.342249;1177.894153;7551.205121;1815.432777;4710.617782;507.3470093;5411.609595;3482.851024;5569.806548;6145.757719;1270.737605;2017.184775;1477.963315;9312.340735;6577.941432;4842.426458;14978.21449;4959.070342;6468.628145;5641.315992;5340.884003;4625.768947;1337.793079;0;894.5062812;2481.840155;6205.603122;13921.99286;4715.167813;5936.129305;4735.998977;2295.363298;4967.657776;4245.371211;18409.97737;9652.796726;6830.407562;3660.02698;6360.620113;9896.722577;9535.424797;7752.579164;3152.637646;16630.59103;5051.086692;10999.74499;1948.832879;5000.289604;3005.856104;5749.163659;2107.897747;2031.126016;16764.37628;5897.223391;6791.881207;9271.763213;3452.541954;8907.526024;1801.165929;5027.894806;7941.589986;273.5233521;4120.225547;3720.685759;1181.874901;10122.06016;7849.91943;683.0082308;10038.76134;1964.94821;551.0347535;7623.181295;10418.62112;8231.896082;5072.414423;8508.566516;11167.33866;6742.674604;3955.028931;6849.301007;8324.262764;1671.617778;5455.115442;2565.325963;10993.15161;9539.258403;2072.883799;6910.089216;7561.233513;3453.612074;5504.80986;1806.74723;4017.306443;16371.74302;16146.04701;5144.043577;5185.467013;1564.098966;5884.483989;3080.874633;16527.37535;8866.461363;8102.73782;16090.12973;3445.589266;1266.458734;7831.856768;15457.11455;4972.015818;2209.390008;4009.10818;4476.306407;9588.654188;11219.6938;9200.703792;3559.617293;1610.878365;2835.724474;4962.317267;1445.941319;3547.121301;12405.55991;5321.259661;5071.742486;1557.167574;6285.635439;9381.522695;5210.132254;3498.066615;1305.77098;9533.408582;4540.380447;998.1451686;1905.704517;10185.09725;2403.890756;15886.5555;2394.671422;11885.13876;5824.268994;2638.329917;8388.436094;3185.584487;6794.929679;2644.103333;4048.586813;893.2565272;1013.004217;3682.433683;1453.577139;3249.120925;6250.348066;1163.250187;3235.087785;14522.94654;17035.23473;6916.30743;8468.64184799999;1045.321809;6527.732868;1004.041768;4661.158359;1027.766442
